sensor-id,humidity
s1,34
s2,48
s3,81
s4,51
s5,41
s6,65
s7,81
s8,33
s9,78
s10,52
s11,95
s12,53
s13,49
s14,73
s15,24
s16,89
s17,62
s18,99
s19,10
s20,92
s21,2
s22,62
s23,34
s24,42
s25,77
s26,79
s27,91
s28,58
s29,46
s30,84
s31,30
s32,98
s33,59
s34,53
s35,20
s36,72
s37,20
s38,11
s39,28
s40,9
s41,66
s42,29
s43,58
s44,66
s45,9
s46,23
s47,33
s48,2
s49,29
s50,61
s51,36
s52,94
s53,94
s54,90
s55,59
s56,75
s57,51
s58,29
s59,27
s60,35
s61,6
s62,84
s63,0
s64,28
s65,1
s66,76
s67,55
s68,18
s69,44
s70,25
s71,38
s72,8
s73,54
s74,87
s75,46
s76,10
s77,50
s78,71
s79,4
s80,40
s81,58
s82,12
s83,30
s84,68
s85,91
s86,15
s87,33
s88,5
s89,5
s90,22
s91,23
s92,32
s93,99
s94,80
s95,55
s96,97
s97,23
s98,92
s99,14
s100,
s101,31
s102,34
s103,81
s104,18
s105,0
s106,60
s107,52
s108,39
s109,36
s110,43
s111,41
s112,88
s113,9
s114,56
s115,69
s116,70
s117,41
s118,81
s119,42
s120,60
s121,87
s122,64
s123,74
s124,53
s125,7
s126,93
s127,88
s128,97
s129,24
s130,99
s131,95
s132,16
s133,65
s134,3
s135,30
s136,21
s137,37
s138,2
s139,79
s140,42
s141,95
s142,96
s143,72
s144,64
s145,47
s146,33
s147,26
s148,55
s149,48
s150,40
s151,4
s152,44
s153,15
s154,11
s155,13
s156,48
s157,68
s158,43
s159,20
s160,4
s161,51
s162,25
s163,20
s164,26
s165,3
s166,21
s167,42
s168,12
s169,79
s170,95
s171,38
s172,48
s173,67
s174,48
s175,48
s176,52
s177,21
s178,68
s179,23
s180,7
s181,61
s182,58
s183,39
s184,46
s185,28
s186,47
s187,49
s188,85
s189,44
s190,97
s191,31
s192,50
s193,81
s194,57
s195,55
s196,45
s197,64
s198,88
s199,96
s200,
s201,17
s202,29
s203,39
s204,92
s205,67
s206,84
s207,93
s208,98
s209,17
s210,28
s211,6
s212,97
s213,18
s214,24
s215,59
s216,10
s217,4
s218,27
s219,17
s220,66
s221,55
s222,63
s223,27
s224,91
s225,42
s226,70
s227,11
s228,64
s229,9
s230,65
s231,76
s232,70
s233,10
s234,26
s235,19
s236,46
s237,16
s238,61
s239,33
s240,13
s241,65
s242,20
s243,85
s244,95
s245,47
s246,0
s247,91
s248,15
s249,12
s250,32
s251,8
s252,65
s253,32
s254,92
s255,7
s256,56
s257,85
s258,65
s259,74
s260,0
s261,33
s262,53
s263,7
s264,35
s265,52
s266,23
s267,19
s268,53
s269,71
s270,12
s271,53
s272,45
s273,67
s274,99
s275,35
s276,22
s277,86
s278,25
s279,64
s280,37
s281,86
s282,90
s283,65
s284,55
s285,22
s286,18
s287,13
s288,51
s289,42
s290,95
s291,99
s292,42
s293,66
s294,68
s295,22
s296,82
s297,62
s298,47
s299,69
s300,
s301,41
s302,33
s303,5
s304,32
s305,95
s306,44
s307,6
s308,20
s309,10
s310,99
s311,64
s312,43
s313,31
s314,3
s315,0
s316,77
s317,49
s318,87
s319,15
s320,75
s321,64
s322,65
s323,36
s324,21
s325,92
s326,63
s327,32
s328,19
s329,76
s330,39
s331,88
s332,36
s333,70
s334,41
s335,67
s336,72
s337,59
s338,5
s339,99
s340,83
s341,28
s342,18
s343,45
s344,3
s345,97
s346,62
s347,73
s348,32
s349,31
s350,51
s351,60
s352,8
s353,53
s354,61
s355,73
s356,2
s357,4
s358,9
s359,0
s360,91
s361,50
s362,88
s363,90
s364,63
s365,13
s366,54
s367,83
s368,62
s369,2
s370,94
s371,45
s372,1
s373,6
s374,7
s375,40
s376,88
s377,89
s378,5
s379,16
s380,18
s381,45
s382,66
s383,92
s384,82
s385,10
s386,56
s387,78
s388,72
s389,60
s390,67
s391,36
s392,90
s393,11
s394,23
s395,52
s396,28
s397,39
s398,16
s399,35
s400,
s401,21
s402,79
s403,88
s404,49
s405,44
s406,55
s407,95
s408,6
s409,46
s410,30
s411,1
s412,79
s413,31
s414,27
s415,56
s416,75
s417,5
s418,60
s419,52
s420,95
s421,78
s422,74
s423,94
s424,16
s425,3
s426,12
s427,25
s428,60
s429,51
s430,86
s431,48
s432,14
s433,27
s434,99
s435,12
s436,84
s437,94
s438,62
s439,26
s440,6
s441,28
s442,94
s443,90
s444,80
s445,27
s446,13
s447,86
s448,77
s449,39
s450,63
s451,87
s452,51
s453,93
s454,8
s455,21
s456,17
s457,75
s458,88
s459,58
s460,32
s461,54
s462,12
s463,82
s464,17
s465,20
s466,77
s467,65
s468,31
s469,5
s470,81
s471,46
s472,65
s473,22
s474,58
s475,24
s476,36
s477,38
s478,63
s479,92
s480,98
s481,66
s482,74
s483,3
s484,24
s485,71
s486,0
s487,68
s488,86
s489,93
s490,0
s491,18
s492,80
s493,91
s494,95
s495,4
s496,14
s497,50
s498,90
s499,26
s500,
s501,25
s502,63
s503,47
s504,38
s505,45
s506,58
s507,89
s508,67
s509,58
s510,81
s511,65
s512,77
s513,63
s514,78
s515,97
s516,21
s517,12
s518,33
s519,89
s520,76
s521,83
s522,58
s523,51
s524,73
s525,50
s526,32
s527,9
s528,8
s529,36
s530,71
s531,21
s532,59
s533,84
s534,44
s535,63
s536,63
s537,96
s538,70
s539,39
s540,38
s541,44
s542,27
s543,67
s544,85
s545,27
s546,53
s547,10
s548,77
s549,92
s550,40
s551,59
s552,56
s553,65
s554,10
s555,43
s556,74
s557,12
s558,35
s559,65
s560,46
s561,31
s562,63
s563,79
s564,23
s565,6
s566,10
s567,75
s568,19
s569,5
s570,82
s571,41
s572,19
s573,36
s574,12
s575,89
s576,29
s577,83
s578,61
s579,82
s580,55
s581,11
s582,39
s583,29
s584,77
s585,11
s586,5
s587,60
s588,47
s589,0
s590,51
s591,42
s592,25
s593,55
