sensor-id,humidity
s1,28
s2,42
s3,4
s4,78
s5,42
s6,58
s7,23
s8,88
s9,49
s10,2
s11,92
s12,54
s13,63
s14,33
s15,59
s16,17
s17,98
s18,8
s19,17
s20,50
s21,15
s22,2
s23,77
s24,22
s25,4
s26,27
s27,87
s28,61
s29,83
s30,42
s31,43
s32,7
s33,51
s34,60
s35,33
s36,45
s37,80
s38,13
s39,62
s40,59
s41,19
s42,58
s43,99
s44,30
s45,48
s46,22
s47,77
s48,81
s49,97
s50,35
s51,13
s52,49
s53,80
s54,56
s55,8
s56,10
s57,44
s58,28
s59,28
s60,46
s61,68
s62,14
s63,95
s64,33
s65,46
s66,20
s67,53
s68,87
s69,52
s70,39
s71,58
s72,53
s73,30
s74,93
s75,93
s76,70
s77,52
s78,70
s79,0
s80,14
s81,41
s82,61
s83,49
s84,10
s85,61
s86,7
s87,82
s88,43
s89,67
s90,58
s91,61
s92,46
s93,36
s94,83
s95,74
s96,17
s97,93
s98,94
s99,67
s100,
s101,83
s102,15
s103,4
s104,47
s105,6
s106,46
s107,55
s108,50
s109,34
s110,3
s111,58
s112,25
s113,83
s114,99
s115,91
s116,49
s117,20
s118,42
s119,62
s120,19
s121,66
s122,53
s123,33
s124,0
s125,51
s126,28
s127,2
s128,46
s129,32
s130,47
s131,46
s132,83
s133,75
s134,84
s135,94
s136,60
s137,51
s138,10
s139,92
s140,39
s141,66
s142,42
s143,49
s144,64
s145,49
s146,3
s147,22
s148,6
s149,2
s150,36
s151,9
s152,90
s153,2
s154,9
s155,16
s156,59
s157,63
s158,18
s159,6
s160,69
s161,97
s162,30
s163,47
s164,41
s165,62
s166,0
s167,51
s168,14
s169,24
s170,64
s171,3
s172,71
s173,34
s174,0
s175,71
s176,64
s177,35
s178,93
s179,27
s180,75
s181,26
s182,50
s183,17
s184,56
s185,72
s186,53
s187,73
s188,60
s189,37
s190,22
s191,83
s192,63
s193,9
s194,32
s195,10
s196,65
s197,35
s198,86
s199,46
s200,
s201,93
s202,16
s203,43
s204,57
s205,50
s206,66
s207,42
s208,28
s209,50
s210,69
s211,29
s212,49
s213,71
s214,7
s215,77
s216,21
s217,61
s218,0
s219,84
s220,50
s221,30
s222,92
s223,7
s224,30
s225,98
s226,4
s227,23
s228,11
s229,92
s230,60
s231,38
s232,84
s233,1
s234,68
s235,54
s236,14
s237,44
s238,82
s239,79
s240,45
s241,86
s242,9
s243,43
s244,58
s245,4
s246,77
s247,4
s248,13
s249,60
s250,97
s251,53
s252,92
s253,89
s254,6
s255,37
