sensor-id,humidity
s1,96
s2,61
s3,11
s4,25
s5,4
s6,64
s7,24
s8,59
s9,47
s10,7
s11,51
s12,98
s13,39
s14,56
s15,81
s16,37
s17,47
s18,22
s19,61
s20,16
s21,1
s22,93
s23,56
s24,37
s25,25
s26,43
s27,53
s28,62
s29,38
s30,9
s31,39
s32,80
s33,42
s34,1
s35,21
s36,11
s37,60
s38,8
s39,67
s40,53
s41,53
s42,41
s43,17
s44,33
s45,32
s46,65
s47,61
s48,68
s49,39
s50,62
s51,13
s52,58
s53,24
s54,30
s55,54
s56,20
s57,84
s58,82
s59,31
s60,90
s61,20
s62,44
s63,96
s64,60
s65,37
s66,10
s67,88
s68,10
s69,58
s70,68
s71,89
s72,69
s73,17
s74,72
s75,48
s76,94
s77,95
s78,14
s79,23
s80,74
s81,39
s82,36
s83,4
s84,92
s85,89
s86,10
s87,45
s88,81
s89,76
s90,18
s91,20
s92,22
s93,84
s94,62
s95,98
s96,29
s97,26
s98,6
s99,55
s100,
s101,47
s102,72
s103,41
s104,34
s105,74
s106,1
s107,0
s108,4
s109,38
s110,91
s111,2
s112,86
s113,14
s114,78
s115,48
s116,96
s117,28
s118,8
s119,44
s120,24
s121,27
s122,32
s123,58
s124,36
s125,22
s126,45
s127,99
s128,38
s129,17
s130,53
s131,66
s132,38
s133,72
s134,70
s135,58
s136,85
s137,48
s138,84
s139,33
s140,5
s141,95
s142,72
s143,98
s144,56
s145,60
s146,14
s147,97
s148,67
s149,39
s150,70
s151,1
s152,52
s153,43
s154,18
s155,45
s156,4
s157,21
s158,24
s159,32
s160,23
s161,19
s162,82
s163,58
s164,37
s165,75
s166,20
s167,55
s168,43
s169,52
s170,73
s171,86
s172,27
s173,14
s174,51
s175,48
s176,66
s177,41
s178,89
s179,56
s180,4
s181,30
s182,71
s183,71
s184,93
s185,68
s186,84
s187,66
s188,34
s189,49
s190,7
s191,51
s192,50
s193,65
s194,45
s195,97
s196,17
s197,34
s198,75
s199,52
s200,
s201,32
s202,38
s203,26
s204,92
s205,43
s206,20
s207,87
s208,43
s209,39
s210,77
s211,36
s212,53
s213,47
s214,3
s215,37
s216,12
s217,10
s218,0
s219,24
s220,70
s221,16
s222,89
s223,50
s224,31
s225,55
s226,39
s227,74
s228,73
s229,32
s230,55
s231,83
s232,17
s233,75
s234,85
s235,21
s236,91
s237,96
s238,95
s239,65
s240,7
s241,32
s242,43
s243,36
s244,32
s245,28
s246,88
s247,90
s248,80
s249,12
s250,15
s251,76
s252,81
s253,45
s254,57
s255,51
s256,49
s257,21
s258,10
s259,60
s260,4
s261,24
s262,28
s263,59
s264,67
s265,1
s266,26
s267,59
s268,71
s269,62
s270,52
s271,40
s272,73
s273,21
s274,56
s275,3
s276,41
s277,67
s278,83
s279,86
s280,13
s281,43
s282,22
s283,29
s284,78
s285,73
s286,25
s287,65
s288,3
s289,69
s290,1
s291,17
s292,7
s293,24
s294,39
s295,99
s296,61
s297,26
s298,64
s299,73
s300,
s301,99
s302,73
s303,56
s304,80
s305,7
s306,89
s307,19
s308,38
s309,51
s310,49
s311,82
s312,0
s313,41
s314,35
s315,77
s316,19
s317,82
s318,96
s319,93
s320,85
s321,88
s322,3
s323,33
s324,83
s325,77
s326,8
s327,42
s328,47
s329,40
s330,45
s331,68
s332,45
s333,48
s334,89
s335,17
s336,18
s337,32
s338,85
s339,81
s340,53
s341,43
s342,0
s343,60
s344,36
s345,63
s346,31
s347,35
s348,2
s349,38
s350,2
s351,65
s352,1
s353,68
s354,74
s355,10
s356,60
s357,72
s358,16
s359,79
s360,48
s361,47
s362,75
s363,9
s364,48
s365,70
s366,66
s367,97
s368,41
s369,85
s370,29
s371,33
s372,11
s373,13
s374,26
s375,32
s376,87
s377,15
s378,15
s379,64
s380,50
s381,64
s382,16
s383,81
s384,25
s385,95
s386,31
s387,67
s388,82
s389,82
s390,37
s391,77
s392,22
s393,6
s394,39
s395,36
s396,33
s397,13
s398,5
s399,78
s400,
s401,14
s402,8
s403,64
s404,92
s405,42
s406,76
s407,70
s408,40
s409,60
s410,58
s411,97
s412,93
s413,11
s414,56
s415,0
s416,93
s417,8
s418,42
s419,10
s420,9
s421,62
s422,24
s423,81
s424,79
s425,48
s426,13
s427,6
s428,24
s429,10
s430,17
s431,89
s432,46
s433,76
s434,28
s435,35
s436,81
s437,17
s438,18
s439,44
s440,39
s441,3
s442,47
s443,23
s444,70
s445,25
s446,96
s447,60
s448,53
s449,22
s450,88
s451,62
s452,35
s453,32
s454,2
s455,42
s456,11
s457,46
s458,56
s459,80
s460,30
s461,6
s462,37
s463,21
s464,44
s465,64
s466,97
s467,54
s468,57
s469,59
s470,89
s471,33
s472,89
s473,13
s474,30
s475,86
s476,62
s477,76
s478,58
s479,51
s480,89
s481,48
s482,14
s483,52
s484,69
s485,92
s486,63
s487,83
s488,76
s489,52
s490,84
s491,37
s492,10
s493,13
s494,70
s495,99
s496,27
s497,20
s498,27
s499,32
s500,
s501,16
s502,14
s503,22
s504,67
s505,25
s506,78
s507,20
s508,65
s509,58
s510,7
s511,47
s512,77
s513,46
s514,89
s515,70
s516,8
s517,61
s518,82
s519,41
s520,64
s521,86
s522,48
s523,52
s524,8
s525,43
s526,38
s527,8
s528,23
s529,93
s530,31
s531,59
s532,10
s533,57
s534,32
s535,13
s536,16
s537,45
s538,0
s539,59
s540,41
s541,69
s542,92
s543,63
s544,66
s545,22
s546,1
s547,90
s548,1
s549,12
s550,82
s551,90
s552,1
s553,24
s554,27
s555,81
s556,70
s557,33
s558,22
s559,67
s560,99
s561,29
s562,34
s563,4
s564,0
s565,32
s566,38
s567,1
s568,58
s569,68
s570,62
s571,85
s572,74
s573,20
s574,77
s575,37
s576,67
s577,2
s578,37
s579,14
s580,0
s581,37
s582,0
s583,43
s584,58
s585,44
s586,23
s587,85
s588,26
s589,93
s590,66
s591,19
s592,32
s593,54
s594,71
s595,99
s596,33
s597,82
s598,65
s599,40
s600,
s601,67
s602,2
s603,77
s604,10
s605,99
s606,58
s607,23
s608,83
s609,78
s610,58
s611,0
s612,36
s613,69
s614,69
s615,95
s616,32
s617,76
s618,49
s619,23
s620,6
s621,45
s622,75
s623,28
s624,55
s625,59
s626,2
s627,50
s628,90
s629,58
s630,75
s631,43
s632,80
s633,18
s634,11
s635,15
s636,36
s637,13
s638,88
s639,46
s640,79
s641,57
s642,35
s643,35
s644,90
s645,11
s646,7
s647,73
s648,64
s649,77
s650,99
s651,92
s652,28
s653,43
s654,22
s655,77
s656,68
s657,19
s658,48
s659,2
s660,91
s661,42
s662,86
s663,77
s664,98
s665,23
s666,23
s667,32
s668,5
s669,43
s670,21
s671,3
s672,86
s673,47
s674,43
s675,5
s676,15
s677,67
s678,37
s679,68
s680,24
s681,67
s682,10
s683,77
s684,37
s685,68
s686,75
s687,61
s688,50
s689,68
s690,56
s691,63
s692,14
s693,99
s694,55
s695,34
s696,65
s697,79
s698,22
s699,66
s700,
s701,60
s702,75
s703,66
s704,92
s705,48
s706,0
s707,11
s708,71
s709,15
s710,32
s711,47
s712,66
s713,72
s714,53
s715,34
s716,78
s717,75
s718,83
s719,45
s720,48
s721,96
s722,86
s723,98
s724,30
s725,1
s726,39
s727,64
s728,8
s729,47
s730,88
s731,56
s732,32
s733,46
s734,31
s735,27
s736,37
s737,64
s738,44
s739,28
s740,52
s741,39
s742,40
s743,58
s744,45
s745,16
s746,15
s747,19
s748,8
s749,77
s750,93
s751,44
s752,18
s753,60
s754,57
s755,74
s756,54
s757,66
s758,54
s759,22
s760,94
s761,2
s762,56
s763,29
s764,39
s765,93
s766,19
s767,26
s768,48
s769,60
s770,75
s771,44
s772,84
s773,62
s774,21
s775,37
s776,6
s777,48
s778,93
s779,49
s780,95
s781,55
s782,37
s783,78
s784,19
s785,44
s786,66
s787,55
s788,0
s789,76
s790,93
s791,32
s792,36
s793,91
s794,62
s795,33
s796,13
s797,63
s798,1
s799,18
s800,
s801,92
s802,18
s803,74
s804,24
s805,68
s806,84
s807,71
s808,97
s809,93
s810,27
s811,76
s812,84
s813,41
s814,74
s815,60
s816,44
s817,98
s818,81
s819,59
s820,91
s821,2
s822,67
s823,48
s824,7
s825,49
s826,30
s827,30
s828,96
s829,82
s830,92
s831,50
s832,1
s833,65
s834,62
s835,52
s836,49
s837,3
s838,34
s839,51
s840,22
s841,70
s842,2
s843,98
s844,0
s845,84
s846,9
s847,2
s848,13
s849,93
s850,67
s851,70
s852,25
s853,43
s854,36
s855,47
s856,74
s857,59
s858,94
s859,4
s860,98
s861,8
s862,46
s863,1
s864,75
s865,18
s866,54
s867,76
s868,65
s869,85
s870,26
s871,37
s872,11
s873,69
s874,17
s875,57
s876,57
s877,36
s878,56
s879,18
s880,78
s881,18
s882,33
s883,58
s884,33
s885,93
s886,46
s887,93
s888,74
s889,4
s890,21
s891,16
s892,3
s893,62
s894,19
s895,76
s896,10
s897,25
s898,84
s899,68
s900,
s901,54
s902,55
s903,46
s904,49
s905,84
s906,78
s907,4
s908,28
s909,4
s910,44
s911,20
s912,69
s913,70
s914,43
s915,72
s916,15
s917,15
s918,60
s919,9
s920,71
s921,50
s922,73
s923,65
s924,43
s925,83
s926,13
s927,90
s928,60
s929,39
s930,60
s931,90
s932,87
s933,75
s934,89
s935,26
s936,50
s937,79
s938,52
s939,75
s940,83
s941,51
s942,32
s943,15
s944,39
s945,31
s946,14
s947,37
s948,37
s949,64
s950,96
s951,37
s952,8
s953,36
s954,42
s955,7
s956,71
s957,30
s958,75
s959,36
s960,9
s961,36
s962,72
s963,54
s964,26
s965,87
s966,77
s967,80
s968,9
s969,53
s970,17
s971,25
s972,42
s973,7
s974,45
s975,20
s976,71
s977,97
s978,44
s979,5
s980,4
s981,38
s982,42
s983,75
s984,33
s985,20
s986,3
s987,98
s988,2
s989,17
s990,80
s991,39
s992,86
s993,45
s994,65
s995,32
s996,59
s997,56
s998,1
s999,26
s1000,
s1001,77
s1002,60
s1003,91
s1004,15
s1005,1
s1006,56
s1007,98
s1008,68
s1009,94
s1010,45
s1011,25
s1012,23
s1013,89
s1014,54
s1015,98
s1016,86
s1017,98
s1018,79
s1019,40
s1020,36
s1021,99
s1022,10
s1023,22
s1024,9
s1025,0
s1026,61
s1027,63
s1028,74
s1029,88
s1030,64
s1031,45
s1032,31
s1033,95
s1034,48
s1035,12
s1036,93
s1037,49
s1038,67
s1039,12
s1040,88
s1041,48
s1042,46
s1043,37
s1044,62
s1045,62
s1046,92
s1047,18
s1048,35
s1049,95
s1050,20
s1051,93
s1052,39
s1053,90
s1054,22
s1055,20
s1056,54
s1057,66
s1058,65
s1059,6
s1060,6
s1061,95
s1062,37
s1063,0
s1064,88
s1065,7
s1066,0
s1067,62
s1068,95
s1069,69
s1070,34
s1071,54
s1072,73
s1073,64
s1074,37
s1075,88
s1076,85
s1077,37
s1078,60
s1079,9
s1080,68
s1081,51
s1082,4
s1083,30
s1084,88
s1085,63
s1086,54
s1087,83
s1088,40
s1089,17
s1090,32
s1091,14
s1092,65
s1093,98
s1094,98
s1095,66
s1096,92
s1097,49
s1098,97
s1099,66
s1100,
s1101,4
s1102,16
s1103,98
s1104,28
s1105,47
s1106,35
s1107,98
s1108,2
s1109,49
s1110,53
s1111,86
s1112,16
s1113,83
s1114,99
s1115,71
s1116,2
s1117,47
s1118,55
s1119,44
s1120,25
s1121,89
s1122,89
s1123,79
s1124,75
s1125,3
s1126,52
s1127,91
s1128,88
s1129,95
s1130,0
s1131,10
s1132,33
s1133,25
s1134,44
s1135,16
s1136,55
s1137,64
s1138,93
s1139,40
s1140,35
s1141,66
s1142,38
s1143,7
s1144,73
s1145,67
s1146,30
s1147,88
s1148,99
s1149,47
s1150,84
s1151,65
s1152,18
s1153,88
s1154,54
s1155,65
s1156,73
s1157,20
s1158,62
s1159,55
s1160,85
s1161,33
s1162,8
s1163,24
s1164,13
s1165,62
s1166,45
s1167,78
s1168,54
s1169,22
s1170,37
s1171,11
s1172,90
s1173,31
s1174,41
s1175,37
s1176,72
s1177,97
s1178,33
s1179,24
s1180,40
s1181,26
s1182,92
s1183,90
s1184,29
s1185,85
s1186,27
s1187,39
s1188,23
s1189,39
s1190,42
s1191,96
s1192,78
s1193,11
s1194,31
s1195,99
s1196,55
s1197,19
s1198,41
s1199,13
s1200,
s1201,25
s1202,32
s1203,4
s1204,57
s1205,9
s1206,29
s1207,64
s1208,89
s1209,99
s1210,27
s1211,56
s1212,78
s1213,76
s1214,42
s1215,70
s1216,93
s1217,78
s1218,21
s1219,33
s1220,32
s1221,55
s1222,10
s1223,78
s1224,53
s1225,46
s1226,99
s1227,91
s1228,89
s1229,78
s1230,59
s1231,1
s1232,14
s1233,33
s1234,10
s1235,42
s1236,35
s1237,18
s1238,49
s1239,77
s1240,76
s1241,73
s1242,87
s1243,6
s1244,86
s1245,76
s1246,28
s1247,82
s1248,12
s1249,62
s1250,67
s1251,27
s1252,57
s1253,87
s1254,31
s1255,52
s1256,34
s1257,89
s1258,28
s1259,57
s1260,25
s1261,48
s1262,80
s1263,94
s1264,99
s1265,22
s1266,89
s1267,38
s1268,15
s1269,95
s1270,76
s1271,78
s1272,96
s1273,35
s1274,9
s1275,68
s1276,41
s1277,52
s1278,48
s1279,36
s1280,77
s1281,72
s1282,71
s1283,38
s1284,50
s1285,28
s1286,22
s1287,2
s1288,35
s1289,72
s1290,19
s1291,36
s1292,41
s1293,8
s1294,88
s1295,23
s1296,74
s1297,47
s1298,84
s1299,85
s1300,
s1301,13
s1302,86
s1303,1
s1304,89
s1305,23
s1306,95
s1307,63
s1308,26
s1309,15
s1310,97
s1311,5
s1312,64
s1313,78
s1314,44
s1315,58
s1316,66
s1317,6
s1318,99
s1319,69
s1320,95
s1321,28
s1322,62
s1323,86
s1324,89
s1325,57
s1326,69
s1327,16
s1328,96
s1329,90
s1330,96
s1331,35
s1332,55
s1333,52
s1334,56
s1335,91
s1336,53
s1337,75
s1338,37
s1339,43
s1340,35
s1341,87
s1342,97
s1343,48
s1344,71
s1345,22
s1346,99
s1347,63
s1348,94
s1349,81
s1350,26
s1351,46
s1352,55
s1353,37
s1354,12
s1355,84
s1356,64
s1357,86
s1358,9
s1359,7
s1360,25
s1361,30
s1362,53
s1363,14
s1364,19
s1365,81
s1366,37
s1367,41
s1368,95
s1369,17
s1370,63
s1371,96
s1372,56
s1373,46
s1374,52
s1375,30
s1376,3
s1377,92
s1378,5
s1379,58
s1380,67
s1381,72
s1382,82
s1383,27
s1384,38
s1385,14
s1386,77
s1387,41
s1388,88
s1389,52
s1390,74
s1391,63
s1392,26
s1393,92
s1394,27
s1395,90
s1396,78
s1397,51
s1398,93
s1399,84
s1400,
s1401,61
s1402,26
s1403,16
s1404,87
s1405,93
s1406,36
s1407,44
s1408,12
s1409,62
s1410,62
s1411,0
s1412,35
s1413,21
s1414,59
s1415,15
s1416,77
s1417,9
s1418,43
s1419,86
s1420,69
s1421,46
s1422,70
s1423,97
s1424,66
s1425,75
s1426,75
s1427,2
s1428,62
s1429,15
s1430,7
s1431,52
s1432,80
s1433,9
s1434,61
s1435,21
s1436,78
s1437,74
s1438,63
s1439,28
s1440,77
s1441,47
s1442,74
s1443,10
s1444,35
s1445,87
s1446,33
s1447,0
s1448,15
s1449,75
s1450,56
s1451,37
s1452,69
s1453,6
s1454,80
s1455,55
s1456,77
s1457,73
s1458,26
s1459,17
s1460,26
s1461,32
s1462,89
s1463,2
s1464,8
s1465,73
s1466,5
s1467,80
s1468,47
s1469,21
s1470,18
s1471,96
s1472,83
s1473,10
s1474,62
s1475,59
s1476,45
s1477,46
s1478,3
s1479,71
s1480,80
s1481,67
s1482,81
s1483,57
s1484,0
s1485,35
s1486,76
s1487,10
s1488,52
s1489,26
s1490,19
s1491,8
s1492,71
s1493,6
s1494,39
s1495,43
s1496,54
s1497,39
s1498,28
s1499,9
s1500,
s1501,53
