sensor-id,humidity
s9880,15
s9881,12
s9882,6
s9883,69
s9884,39
s9885,59
s9886,81
s9887,81
s9888,38
s9889,65
s9890,56
s9891,75
s9892,12
s9893,5
s9894,18
s9895,49
s9896,77
s9897,66
s9898,32
s9899,4
s9900,
s9901,13
s9902,1
s9903,24
s9904,6
s9905,60
s9906,15
s9907,11
s9908,11
s9909,26
s9910,59
s9911,75
s9912,90
s9913,7
s9914,58
s9915,6
s9916,0
s9917,11
s9918,16
s9919,5
s9920,29
s9921,61
s9922,36
s9923,69
s9924,20
s9925,83
s9926,22
s9927,28
s9928,26
s9929,32
s9930,36
s9931,32
s9932,87
s9933,97
s9934,55
s9935,89
s9936,28
s9937,81
s9938,43
s9939,0
s9940,40
s9941,83
s9942,41
s9943,52
s9944,6
s9945,70
s9946,26
s9947,44
s9948,61
s9949,97
s9950,4
s9951,20
s9952,98
s9953,85
s9954,6
s9955,38
s9956,91
s9957,0
s9958,5
s9959,33
s9960,77
s9961,36
s9962,74
s9963,5
s9964,77
s9965,85
s9966,13
s9967,89
s9968,21
s9969,84
s9970,59
s9971,75
s9972,86
s9973,73
s9974,7
s9975,86
s9976,73
s9977,11
s9978,7
s9979,70
s9980,89
s9981,84
s9982,5
s9983,63
s9984,60
s9985,88
s9986,34
s9987,20
s9988,88
s9989,91
s9990,36
s9991,96
s9992,54
s9993,72
s9994,56
s9995,88
s9996,18
s9997,96
s9998,6
s9999,77
s10000,
s10001,13
s10002,96
s10003,96
s10004,95
s10005,35
s10006,7
s10007,55
s10008,27
s10009,21
s10010,15
s10011,30
s10012,34
s10013,43
s10014,96
s10015,73
s10016,8
s10017,76
s10018,42
s10019,89
s10020,61
s10021,18
s10022,9
s10023,69
s10024,62
s10025,10
s10026,8
s10027,25
s10028,99
s10029,94
s10030,2
s10031,28
s10032,52
s10033,29
s10034,30
s10035,81
s10036,94
s10037,84
s10038,73
s10039,79
s10040,78
s10041,93
s10042,58
s10043,42
s10044,5
s10045,62
s10046,1
s10047,82
s10048,91
s10049,37
s10050,29
s10051,46
s10052,98
s10053,47
s10054,20
s10055,34
s10056,58
s10057,64
s10058,74
s10059,1
s10060,35
s10061,0
s10062,55
s10063,38
s10064,71
s10065,32
s10066,38
s10067,35
s10068,34
s10069,72
s10070,43
s10071,1
s10072,60
s10073,82
s10074,39
s10075,48
s10076,15
s10077,37
s10078,87
s10079,14
s10080,95
s10081,47
s10082,39
s10083,30
s10084,15
s10085,77
s10086,14
s10087,10
s10088,12
s10089,4
s10090,76
s10091,65
s10092,12
s10093,21
s10094,75
s10095,84
s10096,1
s10097,66
s10098,3
s10099,70
s10100,
s10101,13
s10102,97
s10103,29
s10104,16
s10105,99
s10106,78
s10107,63
s10108,91
s10109,36
s10110,65
s10111,94
s10112,51
s10113,96
s10114,62
s10115,5
s10116,92
s10117,23
s10118,45
s10119,62
s10120,24
s10121,77
s10122,62
s10123,99
s10124,5
s10125,14
s10126,13
s10127,79
s10128,10
s10129,6
s10130,64
s10131,22
s10132,97
s10133,33
s10134,17
s10135,39
s10136,31
s10137,87
s10138,39
s10139,9
s10140,8
s10141,64
s10142,6
s10143,67
s10144,31
s10145,54
s10146,55
s10147,58
s10148,45
s10149,12
s10150,2
s10151,84
s10152,22
s10153,12
s10154,11
s10155,62
s10156,64
s10157,37
s10158,48
s10159,21
s10160,32
s10161,59
s10162,76
s10163,95
s10164,41
s10165,79
s10166,45
s10167,58
s10168,84
s10169,6
s10170,81
s10171,59
s10172,14
